Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Application type","Stage of procedure","Cases / Persons",applied
2016,Afghanistan,AFG,Albania,ALB,G,N,FI,P,64
2016,Afghanistan,AFG,Egypt,EGY,U,A,AR,P,5
2016,Afghanistan,AFG,Egypt,EGY,U,N,FI,P,6
2016,Afghanistan,AFG,Australia,AUS,G,A,AR,P,33
2016,Afghanistan,AFG,Australia,AUS,G,N,FI,P,2563
2016,Afghanistan,AFG,Austria,AUT,G,N,FA,P,11522
2016,Afghanistan,AFG,Azerbaijan,AZE,G,A,AR,P,12
2016,Afghanistan,AFG,Azerbaijan,AZE,G,N,FI,P,129
2016,Afghanistan,AFG,Azerbaijan,AZE,U,N,FI,P,85
2016,Afghanistan,AFG,Belgium,BEL,G,N,FI,P,2227
2016,Afghanistan,AFG,Belgium,BEL,G,A,JR,C,388
2016,Afghanistan,AFG,Belgium,BEL,G,R,RA,P,540
2016,Afghanistan,AFG,Belarus,BLR,G,N,FI,P,21
2016,Afghanistan,AFG,Brazil,BRA,G,N,FI,P,13
2016,Afghanistan,AFG,"Bosnia and Herzegovina",BIH,G,N,FI,P,5
2016,Afghanistan,AFG,Bulgaria,BGR,G,N,FI,P,8613
2016,Afghanistan,AFG,Bulgaria,BGR,G,R,RA,P,183
2016,Afghanistan,AFG,Canada,CAN,G,N,FI,P,624
2016,Afghanistan,AFG,China,CHN,U,N,FI,P,20
2016,Afghanistan,AFG,Cuba,CUB,U,N,FA,P,31
2016,Afghanistan,AFG,Czechia,CZE,G,N,FI,P,36
2016,Afghanistan,AFG,Denmark,DNK,G,A,AR,P,612
2016,Afghanistan,AFG,Denmark,DNK,G,N,FI,P,1154
2016,Afghanistan,AFG,Finland,FIN,G,N,FI,P,697
2016,Afghanistan,AFG,Finland,FIN,G,R,RA,P,60
2016,Afghanistan,AFG,France,FRA,G,A,AR,P,611
2016,Afghanistan,AFG,France,FRA,G,N,FI,P,6087
2016,Afghanistan,AFG,France,FRA,G,A,RA,P,21
2016,Afghanistan,AFG,France,FRA,G,R,RA,P,38
2016,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,A,AR,C,969
2016,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,N,FI,P,3094
2016,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,G,R,RA,P,61
2016,Afghanistan,AFG,Georgia,GEO,G,N,FI,P,17
2016,Afghanistan,AFG,Germany,DEU,G,N,NA,P,127012
2016,Afghanistan,AFG,Germany,DEU,G,R,RA,P,880
2016,Afghanistan,AFG,Greece,GRC,G,A,AR,P,204
2016,Afghanistan,AFG,Greece,GRC,G,N,FI,P,4293
2016,Afghanistan,AFG,Greece,GRC,G,R,RA,P,78
2016,Afghanistan,AFG,Croatia,HRV,G,N,FI,P,581
2016,Afghanistan,AFG,Croatia,HRV,G,J,JR,P,13
2016,Afghanistan,AFG,Hungary,HUN,G,N,FI,P,10774
2016,Afghanistan,AFG,Hungary,HUN,G,R,RA,P,278
2016,Afghanistan,AFG,Iceland,ISL,G,N,FI,P,25
2016,Afghanistan,AFG,India,IND,U,A,AR,P,398
2016,Afghanistan,AFG,India,IND,U,N,FI,P,4100
2016,Afghanistan,AFG,Indonesia,IDN,U,A,AR,P,73
2016,Afghanistan,AFG,Indonesia,IDN,U,N,FI,P,1162
2016,Afghanistan,AFG,Ireland,IRL,G,A,AR,P,52
2016,Afghanistan,AFG,Ireland,IRL,G,N,FI,P,121
2016,Afghanistan,AFG,Ireland,IRL,G,R,RA,P,5
2016,Afghanistan,AFG,Ireland,IRL,G,A,SP,P,5
2016,Afghanistan,AFG,Ireland,IRL,G,N,SP,P,6
2016,Afghanistan,AFG,Italy,ITA,G,N,FI,P,2851
2016,Afghanistan,AFG,Kazakhstan,KAZ,G,A,AR,P,22
2016,Afghanistan,AFG,Kazakhstan,KAZ,G,N,FI,P,224
2016,Afghanistan,AFG,Kenya,KEN,J,N,FI,P,6
2016,Afghanistan,AFG,Kyrgyzstan,KGZ,G,N,FI,P,150
2016,Afghanistan,AFG,"Rep. of Korea",KOR,G,N,FA,P,7
2016,Afghanistan,AFG,"Sri Lanka",LKA,U,A,AR,P,5
2016,Afghanistan,AFG,"Sri Lanka",LKA,U,N,FI,P,54
2016,Afghanistan,AFG,Lithuania,LTU,G,N,FI,P,32
2016,Afghanistan,AFG,Luxembourg,LUX,G,A,AR,P,9
2016,Afghanistan,AFG,Luxembourg,LUX,G,N,FI,P,56
2016,Afghanistan,AFG,Latvia,LVA,G,N,FI,P,35
2016,Afghanistan,AFG,Madagascar,MDG,U,N,FI,P,5
2016,Afghanistan,AFG,Mauritania,MRT,U,N,FI,P,7
2016,Afghanistan,AFG,"North Macedonia",MKD,G,N,FA,P,167
2016,Afghanistan,AFG,"Rep. of Moldova",MDA,G,N,FI,P,5
2016,Afghanistan,AFG,"Rep. of Moldova",MDA,G,J,JR,P,7
2016,Afghanistan,AFG,Malaysia,MYS,U,A,AR,P,31
2016,Afghanistan,AFG,Malaysia,MYS,U,N,FI,P,359
2016,Afghanistan,AFG,Montenegro,MNE,G,N,FA,P,52
2016,Afghanistan,AFG,Mongolia,MNG,U,N,FI,P,5
2016,Afghanistan,AFG,Malta,MLT,G,N,FI,P,7
2016,Afghanistan,AFG,Netherlands,NLD,G,N,FI,P,1210
2016,Afghanistan,AFG,Netherlands,NLD,G,R,RA,P,378
2016,Afghanistan,AFG,Norway,NOR,G,A,AR,P,3284
2016,Afghanistan,AFG,Norway,NOR,G,N,FI,P,350
2016,Afghanistan,AFG,Norway,NOR,G,R,RA,P,23
2016,Afghanistan,AFG,"New Zealand",NZL,G,N,FI,P,6
2016,Afghanistan,AFG,Pakistan,PAK,U,A,AR,P,1498
2016,Afghanistan,AFG,Pakistan,PAK,U,N,FI,P,4371
2016,Afghanistan,AFG,Philippines,PHL,G,N,FA,P,8
2016,Afghanistan,AFG,Poland,POL,G,A,AR,P,6
2016,Afghanistan,AFG,Poland,POL,G,N,FI,P,19
2016,Afghanistan,AFG,Portugal,PRT,G,N,FI,P,18
2016,Afghanistan,AFG,Romania,ROU,G,N,FI,P,79
2016,Afghanistan,AFG,Romania,ROU,G,R,RA,P,8
2016,Afghanistan,AFG,"Russian Federation",RUS,G,N,FI,P,211
2016,Afghanistan,AFG,"Russian Federation",RUS,G,N,TA,P,577
2016,Afghanistan,AFG,"El Salvador",SLV,G,N,FI,P,5
2016,Afghanistan,AFG,Spain,ESP,G,N,FI,P,69
2016,Afghanistan,AFG,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,G,N,FI,P,409
2016,Afghanistan,AFG,Slovakia,SVK,G,N,FI,P,8
2016,Afghanistan,AFG,Slovakia,SVK,G,R,RA,P,8
2016,Afghanistan,AFG,Slovenia,SVN,G,N,FI,P,409
2016,Afghanistan,AFG,Slovenia,SVN,G,R,RA,P,10
2016,Afghanistan,AFG,Sweden,SWE,G,A,AR,P,4823
2016,Afghanistan,AFG,Sweden,SWE,G,N,FI,P,2148
2016,Afghanistan,AFG,Sweden,SWE,G,R,RA,P,809
2016,Afghanistan,AFG,Switzerland,CHE,G,N,FI,P,3183
2016,Afghanistan,AFG,Switzerland,CHE,G,R,FI,P,46
2016,Afghanistan,AFG,"Syrian Arab Rep.",SYR,U,N,FI,P,53
2016,Afghanistan,AFG,"Syrian Arab Rep.",SYR,U,R,JR,P,21
2016,Afghanistan,AFG,Thailand,THA,U,N,FI,P,33
2016,Afghanistan,AFG,Tajikistan,TJK,G,N,FA,P,254
2016,Afghanistan,AFG,Tajikistan,TJK,U,N,FI,P,19
2016,Afghanistan,AFG,Türkiye,TUR,U,N,FI,P,34775
2016,Afghanistan,AFG,Türkiye,TUR,U,R,RA,P,20
2016,Afghanistan,AFG,"United Arab Emirates",ARE,U,N,NA,P,18
2016,Afghanistan,AFG,Ukraine,UKR,G,N,FI,P,164
2016,Afghanistan,AFG,Ukraine,UKR,G,J,JR,P,138
2016,Afghanistan,AFG,Ukraine,UKR,U,N,FI,P,82
2016,Afghanistan,AFG,"United States of America",USA,G,N,EO,P,48
2016,Afghanistan,AFG,"United States of America",USA,G,N,IN,C,263
2016,Albania,ALB,Australia,AUS,G,A,AR,P,11
2016,Albania,ALB,Australia,AUS,G,N,FI,P,39
2016,Albania,ALB,Austria,AUT,G,N,FA,P,76
2016,Albania,ALB,Belgium,BEL,G,N,FI,P,649
