Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2016,Afghanistan,AFG,Albania,ALB,G,FI,P,0,0,0,64,64
2016,Afghanistan,AFG,Egypt,EGY,U,FI,P,13,0,5,5,23
2016,Afghanistan,AFG,Australia,AUS,G,AR,P,43,0,21,0,64
2016,Afghanistan,AFG,Australia,AUS,G,FI,P,1415,0,76,0,1491
2016,Afghanistan,AFG,Austria,AUT,G,FA,P,1756,1693,182,2489,6120
2016,Afghanistan,AFG,Azerbaijan,AZE,G,AR,P,12,0,0,0,12
2016,Afghanistan,AFG,Azerbaijan,AZE,G,FI,P,5,0,94,12,111
2016,Afghanistan,AFG,Azerbaijan,AZE,U,FI,P,60,0,10,32,102
2016,Afghanistan,AFG,Belgium,BEL,G,FI,P,656,830,583,88,2157
2016,Afghanistan,AFG,Belgium,BEL,G,JR,C,5,0,346,10,361
2016,Afghanistan,AFG,Belgium,BEL,G,RA,P,0,0,0,381,381
2016,Afghanistan,AFG,Belarus,BLR,G,FI,P,0,0,5,14,19
2016,Afghanistan,AFG,Brazil,BRA,G,FI,P,17,5,0,0,22
2016,Afghanistan,AFG,Bulgaria,BGR,G,FI,P,0,10,431,0,441
2016,Afghanistan,AFG,Canada,CAN,G,FI,P,469,0,84,22,575
2016,Afghanistan,AFG,Colombia,COL,G,FI,P,5,0,0,0,5
2016,Afghanistan,AFG,Cuba,CUB,U,FA,P,34,0,10,10,54
2016,Afghanistan,AFG,Cyprus,CYP,G,FI,P,0,0,0,10,10
2016,Afghanistan,AFG,Czechia,CZE,G,FI,P,5,16,0,12,33
2016,Afghanistan,AFG,Denmark,DNK,G,AR,P,25,39,197,0,261
2016,Afghanistan,AFG,Denmark,DNK,G,FI,P,43,187,654,0,884
2016,Afghanistan,AFG,Estonia,EST,G,FI,P,5,0,0,0,5
2016,Afghanistan,AFG,Finland,FIN,G,FI,P,449,490,3448,765,5152
2016,Afghanistan,AFG,Finland,FIN,G,RA,P,5,0,16,19,40
2016,Afghanistan,AFG,France,FRA,G,AR,P,49,89,77,5,220
2016,Afghanistan,AFG,France,FRA,G,FI,P,741,2529,773,0,4043
2016,Afghanistan,AFG,France,FRA,G,RA,P,5,5,10,0,20
